id,companyName,webURL,parentCompany,optoutLink,optoutInstructions,optoutComplete
1,411,411.com,Whitepages,https://www.whitepages.com/suppression_requests,"Search for your name and location, and paste the URL into the opt out form to opt out.",FALSE
2,411info,411.info,,https://411.info/manage/,"Search for your name and location, and paste the URL into the opt out form to opt out.",FALSE
3,411Locate,411Locate.com,,https://www.411locate.com/contact,Use the contact page and request that your information is removed.,FALSE
4,acxiom,acxiom.com,,https://isapps.acxiom.com/optout/optout.aspx,Use the online form to complete the removal process.  ,FALSE
5,absolutepeoplesearch,absolutepeoplesearch.com,,https://absolutepeoplesearch.com/optout,"Search for your name and location, and select ""Removal Request"" button to remove your profile information.",FALSE
6,Accudata,Accudata.com,,https://www.accudata.com/wp-content/uploads/2019/12/Opt-Out-Request-by-Mail-Form.pdf,Use the Consumer Opt-Out Request form to remove your profile.,FALSE
7,Addresses,Addresses.com ,Intelius,https://www.intelius.com/opt-out/submit/,Use the opt out form and fill out the information as it apears on your listing.,FALSE
8,AddressSearch,AddressSearch.com,,https://www.addresssearch.com/remove-info.php,Use the opt out form and fill out the information as it apears on your listing.,FALSE
9,Advanced-People-Search,Advanced-People-Search.com,,https://www.peoplefinders.com/opt-out,Use the opt out form and fill out the information as it apears on your listing.,FALSE
10,AdvancedBackgroundChecks,AdvancedBackgroundChecks.com,,https://www.advancedbackgroundchecks.com/removal,Use the opt out form and fill out the information as it apears on your listing.,FALSE
11,AlarmsCalifornia,AlarmsCalifornia.org,,removals@licensedata.org ,Search for your listing on https://www.alarmscalifornia.org/. Send an email to removals@licensedata.org requesting for your information to be removed along with a url of your listing.,FALSE
12,AllAreaCodes,AllAreaCodes.com,,https://www.allareacodes.com/remove_name.htm,Use the opt out form and fill out the information as it apears on your listing.,FALSE
13,AllPeople,AllPeople.com,,https://www.AllPeople.com,"Search for your own listing on allpeople.com. Find your listing and click ""remove"" to remove your information as it appears in the listing.",FALSE
14,alumnius,alumnius.net,,https://www.alumnius.net/feedback,Does not have a functioning opt-out process in place at this time. Use the feedback form.,FALSE
15,AmericaPhoneBook,AmericaPhoneBook.com,,http://www.americaphonebook.com/contact.php,"Scroll down the page nd enter your phone number and 5 digit zip code, and click ""request removal""",FALSE
16,Ancestry,Ancestry.com,,https://www.ancestry.com/secure/account/delete,"Click name or username on the top right corner on any Ancestry page and select your account and click ""cancel membership"" in the membership section.",FALSE
17,AncientFaces,AncientFaces.com,,https://www.ancientfaces.com/contact,"Scroll down the page and under ""Contact AncientFaces"" section, select the option to ""Request to Remove Information."" Fill out the removal form.",FALSE
18,AnyWho,AnyWho.com,Intelius,https://www.intelius.com/opt-out/submit/,"AnyWho is owned by Intelius. Search for your own listing, select ""Select and Continue"", and enter in your email address to verify your opt-out request.",FALSE
19,Archives,Archives.com,,https://www.archives.com/optout,Use the opt out form and fill out the information as it apears on your listing.,FALSE
20,Arivify,Arivify.com,,https://www.arivify.com/removal,Use the opt out form and fill out the information as it apears on your listing.,FALSE
21,azerch,azerch.com,,https://www.azerch.com/Policies/Privacy,Use the content removal tool at the bottomof the page and paste the URL of your listing.,FALSE
22,BackgroundAlert,BackgroundAlert.com,,https://backgroundalert.com/optout/,"Seach for your own listing, and click ""That's me"" to claim profile. Upload redacted ID: Be sure to block out your photo, signature, and ID number.",FALSE
23,BackgroundCheck,BackgroundCheck.run,,https://backgroundcheck.run/,"Search for own profile, and click ""Control this profile"" on right side of screen to opt out.",FALSE
24,BackgroundReport360,BackgroundReport360.com,Infotracer,https://infotracer.com/optout/,BackgoundReport360 gets its info from Infotracer. Use the opt out form and fill out the information as it apears on your listing.,FALSE
25,bearsofficialsstore,bearsofficialsstore.com,,https://bearsofficialsstore.com/feedback,Does not have a functioning opt-out process in place at this time. Use the feedback form.,FALSE
26,BeenVerified,BeenVerified.com,,https://www.beenverified.com/app/optout/search,Use the opt out form and fill out the information as it apears on your listing.,FALSE
27,BizShark,BizShark.com,,https://www.bizshark.com/opt_out/new,Search for your name on https://www.bizshark.com/ to find your listing. Click on your name and then copy the URL of your listing. Submit it into the opt out form to opt out.,FALSE
28,BlockShopper,BlockShopper.com,,scarlett@blockshopper.com,"Email scarlett@blockshopper.com with ""Removal"" as the subject",FALSE
29,BuzzFile,BuzzFile.com,,http://www.buzzfile.com/Company/Remove,Use the removal form to complete the opt-out process.,FALSE
30,CaliforniaBrokers,CaliforniaBrokers.org,,removals@licensedata.org,"Enter your first and last name, click ‘Find’. Copy the URL of your listing and email your removal request with the listing’s URL at removals@licensedata.org with ""Removal Request"" as the subject.",FALSE
31,CaliforniaEngineering,CaliforniaEngineering.org,,removals@licensedata.org,"Enter your first and last name, click ‘Find’. Copy the URL of your listing and email your removal request with the listing’s URL at removals@licensedata.org with ""Removal Request"" as the subject.",FALSE
32,CaliforniaLicensing,CaliforniaLicensing.org,,removals@licensedata.org,"Enter your first and last name, click ‘Find’. Copy the URL of your listing and email your removal request with the listing’s URL at removals@licensedata.org with ""Removal Request"" as the subject.",FALSE
33,CaliforniaNursing,CaliforniaNursing.org,,removals@licensedata.org,"Enter your first and last name, click ‘Find’. Copy the URL of your listing and email your removal request with the listing’s URL at removals@licensedata.org with ""Removal Request"" as the subject.",FALSE
34,CaliforniaPharmacists,CaliforniaPharmacists.org,,contact@licensedata.org,Search for yourself on californiapharmacists.org. Find your matching result and click on the URL of your listing. Copy and paste this in an email to contact@licensedata.org and request for profile removl in your email.,FALSE
35,callernear,callernear.com,,removephonenumber@yeah.net,Email removephonenumber@yeah.net with REMOVAL as the subject and include the phone number you want removed.,FALSE
36,callercenter,callercenter.com,,https://www.callercenter.com/contact-us,Use contact-us form to request removal of my phone number. Enter information as it appears in your listing.,FALSE
37,callersmart,callersmart.com,,feedback@callersmart.com,Email feedback@callersmart.com with “Removal” as the subject. Enter information as it appears in your listing.,FALSE
38,calltruth,calltruth.com,,https://www.calltruth.com/opt_out.php,Use the opt out form to complete the removal process.,FALSE
39,cellrevealer,cellrevealer.com,,https://cellrevealer.com/Unsubscribe,Use the online form to complete the removal process.  ,FALSE
40,centeda,centeda.com,,support@centeda.com,"Email support@centeda.com with a generic opt-out form, with information as it appears in your listing. Send link of your information.",FALSE
